Anchor_0,Anchor_1,Anchor_2,Anchor_3,Anchor_4
29.1473,6.66276,6.61418,2.85114,0.552661
29.4568,6.69558,6.47423,3.03784,0.436648
29.257,6.36958,6.31373,2.68596,0.725728
29.3159,6.36082,6.58246,2.72245,0.623769
29.6106,6.32933,6.49884,2.9032,0.744978
29.2319,6.48969,6.17752,2.80472,0.50266
29.5461,6.22624,6.23608,2.83519,0.396667
29.2852,6.74805,6.45294,2.74953,0.144312
29.4664,6.30192,6.71757,2.64321,0.527761
29.3199,6.56435,6.2898,2.7324,0.6197
29.3182,6.29394,6.66055,2.97816,0.28713
29.3071,6.46883,6.79474,2.71752,0.417147
29.3201,6.67036,6.34395,2.83778,0.714518
29.4492,6.18251,6.4402,2.81592,0.404762
29.3898,6.95655,6.41257,2.30446,0.775017
29.4814,6.55184,6.68675,3.2252,0.640502
29.3606,6.52265,6.73444,2.44762,0.416547
29.3557,6.93912,6.74712,2.7932,0.727884
29.2791,6.96477,6.81716,2.54524,0.251323
30.1821,6.7266,6.49499,2.81242,0.401558
29.2214,6.95558,6.91698,2.76898,0.480326
29.227,6.56779,6.7141,2.48328,0.596167
29.2531,6.85513,6.85019,3.13839,0.36812
29.2698,6.58544,6.73006,2.74102,0.514851
29.3111,6.11985,6.72569,2.96912,0.417919
29.2924,6.97439,6.55968,2.67126,0.287269
29.1992,6.69308,6.49614,2.89557,0.72976
29.4497,6.78164,7.08814,2.55666,0.938035
29.371,6.99776,6.62053,2.87243,0.273568
29.5049,6.03587,6.47486,3.02043,0.504962
29.5008,6.56271,6.37081,2.95299,0.208744
29.4534,6.5394,6.68046,2.81429,0.834068
29.2578,7.04795,6.42794,2.62497,0.597168
29.7312,6.55932,6.51235,2.94931,0.460166
30.0519,5.98138,6.43335,2.84246,0.493832
29.6951,6.43438,6.36838,2.63446,0.303098
29.6399,5.92759,6.2437,2.5589,0.655227
29.6268,6.6554,6.35204,2.65085,0.323082
29.5649,7.0337,6.37536,2.82616,0.355511
29.5966,6.43681,6.57253,2.99458,0.825192
29.6419,6.03145,6.4974,2.92775,0.870675
29.4315,7.09897,6.29653,2.6267,0.393774
29.335,6.48441,6.21719,2.77544,0.518252
29.3513,6.43012,6.94957,2.90828,0.735412
29.7548,6.01683,6.75664,2.66128,0.518905
29.4358,6.38272,6.54132,2.90407,0.399094
29.6427,6.29409,6.37975,2.77281,0.496421
29.3558,6.08609,6.1315,2.55491,0.138496
29.5735,6.40519,6.86247,2.7878,0.997882
29.0762,6.26007,6.54,2.59717,0.478919
29.9125,6.49288,6.19065,3.24808,0.331342
29.5752,6.76669,6.81678,3.12178,0.31499
29.1353,6.7778,6.59624,2.7513,0.812837
29.2478,6.25614,6.61561,2.66853,0.940484
29.5574,6.76995,6.1773,2.52787,0.46939
29.5301,6.56751,6.39937,2.49207,0.529646
29.4379,6.80463,6.36621,2.62766,0.198442
29.6584,5.95489,6.34498,2.86079,1.08388
29.3814,6.56574,6.55677,2.46687,0.0555924
29.4483,6.54197,6.24588,2.38513,0.510025
29.2511,7.18943,6.25072,2.47818,0.550471
29.084,7.20337,6.69161,2.69437,1.07932
29.5504,6.22085,6.09556,2.6834,0.345854
29.0185,6.98566,6.23397,2.74268,0.791749
29.1923,7.0992,6.15958,2.4649,0.362637
29.1579,6.51172,6.65391,2.75754,0.3823
29.3065,6.45717,6.18197,3.05736,0.33222
29.7696,5.99302,6.88234,2.67704,0.278857
29.6603,6.27703,6.2863,2.88421,0.596535
29.1356,5.94523,6.1491,2.48296,0.367999
29.4399,6.3017,6.16022,2.80862,1.09567
29.7914,6.84381,6.39388,2.81022,0.967381
29.1977,6.36424,6.74885,2.80464,0.477534
29.3222,5.73218,6.18711,2.99024,0.200789
29.2364,6.25324,6.39134,3.02966,0.5492
29.1757,6.98903,6.12366,2.45648,0.547775
29.1336,6.38502,6.37646,2.83102,1.02895
29.0877,5.94216,6.57136,2.5305,0.398635
29.0713,6.47266,6.47137,2.78791,0.848077
29.094,6.36303,6.59356,2.4651,0.862843
29.2222,6.22688,6.43819,2.69835,0.514468
29.1899,6.25138,6.76551,2.70761,0.879747
29.2485,6.31859,6.3516,2.56557,0.199353
29.0146,6.70449,6.24389,2.38006,0.508448
29.0499,6.43145,6.2923,3.04347,0.586382
29.1903,5.99075,6.2538,2.5269,0.431354
29.1274,5.83958,6.33201,2.9538,0.32125
28.9627,5.71076,6.69215,2.41186,0.502687
29.0569,6.45823,6.3557,2.65395,0.229088
29.0778,6.14897,6.48932,3.01027,0.122266
29.0485,6.26927,6.34517,2.64426,0.659234
28.9995,6.21268,6.78029,3.01232,0.359077
29.0393,5.88457,6.70117,2.78743,0.361602
29.1535,5.89857,6.44207,2.6273,0.446227
29.1831,6.04883,6.26913,2.88154,0.627547
29.2123,6.15447,6.32079,2.60734,0.443926
29.2217,6.05774,6.41555,2.57361,0.413496
29.227,6.0268,6.40249,2.66502,0.628274
29.3269,6.63788,6.44107,2.55171,0.358488
29.1582,6.15747,6.26667,2.82253,0.553462
29.0173,6.09861,6.76512,2.79878,0.216171
29.255,6.02644,6.31736,3.07578,0.963815
28.9811,6.11614,6.32753,2.34479,0.386891
29.0468,6.03844,6.22207,2.86395,0.878378
29.0887,6.01397,6.20546,2.82635,0.503669
29.0382,6.67415,6.39436,2.45677,0.392316
29.0329,6.09673,6.54783,2.48046,0.445919
29.0296,6.0935,6.37142,2.79069,0.438851
29.124,6.75784,6.51079,2.91291,0.465132
29.0616,6.05314,6.51614,2.58688,0.622125
29.0439,6.03074,6.4065,2.78159,0.882779
29.0587,6.06642,6.50553,3.17495,0.271771
29.0977,6.01702,6.43112,2.75973,0.703702
28.9971,6.01698,6.447,3.00133,0.573507
28.9187,5.97477,6.39373,2.44159,0.637361
29.0456,5.9145,6.38059,2.91478,0.766206
29.1358,5.97606,6.54292,2.6729,1.02264
28.9394,5.82193,6.52846,2.78268,0.681918
28.9259,6.12566,6.68444,2.86546,0.371055
28.8607,6.08265,6.30574,2.69395,0.956749
28.9361,5.92809,6.24712,2.65274,0.949404
28.9635,5.99616,6.39331,3.04049,0.664378
29.0617,6.00978,6.26763,2.56604,0.407616
29.0765,5.97986,6.39477,2.96555,0.589801
28.9178,5.78937,6.42048,2.34976,0.902447
28.8935,6.06086,6.41029,2.71348,0.526141
29.011,5.90393,6.43861,2.75436,0.249363
28.9618,5.85,6.5736,2.94698,0.765236
28.8669,6.14181,6.34392,2.67273,0.535144
28.8248,5.98434,6.38278,2.49869,0.577002
29.0121,5.96416,6.54161,2.561,0.162104
28.8503,6.21596,6.49905,2.61378,0.982862
28.9119,6.15753,6.48386,2.77714,0.172135
28.8932,6.12175,6.38413,3.12908,0.662703
28.9391,6.11717,6.49719,2.68701,1.01965
29.029,6.10253,6.50301,2.50807,0.582681
28.9682,6.10553,6.47138,2.73938,1.02467
28.8185,6.04014,6.32474,2.77948,1.17555
28.7809,6.25393,6.32397,2.54727,0.39503
28.9901,6.23591,6.59945,2.75456,0.539701
28.7978,6.22606,6.42803,3.06162,0.679373
28.9654,6.12967,6.4599,2.35875,0.405629
28.7942,6.22277,6.45159,2.45644,1.01603
